SN,Name of Institute,Institute Type,Diploma/PCL Program,Quota,Applicant,Pre-diploma Program,Quota,Applicant
23,"KANTIPUR INSTITUTE OF HEALTH SCIENCE, POKHARA, KASKI",Private,Dental Science(Dental Hygiene),-40,40,,,
,,,Diagnostic Radiography,-30,16,,,
,,,Medical Laboratory Technology,-30,23,,,
,,,Pharmacy,-40,40,,,
24,"KISAN POLYTECHNIC INSTITUTE, CHAPAKOT 10, SYANGJA",Constituated,Agriculture (Animal Science) (Semester),-40,11,,,
,,,Civil Engineering,-48,14,,,
,,,Civil Engineering (Special),-10,10,,,
,,,Information Technology,-48,24,,,
25,"KISANI SECONDARY SCHOOL, MYAGDI",TECS,Agriculture (Animal Science) (Semester),-40,12,,,
,,,Agriculture (Plant Science)(Semester),-40,9,,,
26,"PASCHIMANCHAL PRABIDHIK SHIKSHALAY, SHUKLAGANDAKI, TANAHUN",Private,General Medicine,-40,27,,,
,,,Medical Laboratory Technology,-30,16,,,
27,"PIONEERS HIGHER EDUCATION, WALING, SYANGJA",Private,General Medicine,-40,20,,,
28,"POKHARA ENGINEERING COLLEGE, POKHARA, KASKI",Private,Civil Engineering,-48,5,,,
,,,Computer Engineering,-48,7,,,
29,"POKHARA TECHNICAL SCHOOL, PHULBARI , KASKI",Constituated,Automobile Engineering,-48,20,,,
,,,Hotel Management,-40,38,,,
30,"POKHARA TECHNICAL TRAINING AND RESEARCH CENTER, POKHARA, KASKI",Private,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,23,,,
31,"RAINAS POLYTECHNIC INSTITUTE, RAINAS, LAMJUNG",Constituated,Forestry,-40,10,,,
32,"REGIONAL COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, POKHARA, KASKI",Private,Diagnostic Radiography,-30,30,,,
,,,Food & Dairy Technology,-40,24,,,
,,,Medical Laboratory Technology,-30,29,,,
,,,Pharmacy,-40,40,,,
33,"SIDDHARTHA SECONDARY SCHOOL, PHEDIKHOLA, SYANGJA",TECS,Computer Engineering,-48,8,,,
34,"TRIBHUWAN AADARSHA SECONDARY SCHOOL, PUTALIBAZAR, SYANGJA",TECS,Civil Engineering,-48,10,,,
35,"WALING SCHOLARS' FOUNDATION, SYANGJA",Partnership,Pharmacy,-40,40,,,
Total,,,,,1790,,,0
Grand Total,,,,,1790,,,0
