SN,Name of Institute,Institute Type,Diploma/PCL Program,Quota,Applicant,Pre-diploma Program,Quota,Applicant
22,"GORKHA POLYTECHNIC INSTITUTE, PALUNGTAR , GORKHA",Constituated,Civil Engineering,-48,11,,,
,,,Civil Engineering (Specialized in Hydropower),-48,1,,,
,,,Civil Engineering (Specialized in Hydropower)(Special),-40,30,,,
,,,Electrical Engineering,-48,3,,,
,,,Geomatics Engineering,-48,15,,,
23,"GORKHA SCIENCE AND TECHNICAL EDUCATION SAHKARI LIMITED, GORKHA",Private,Medical Laboratory Technology,-30,14,,,
24,"GORKHA TECHNICAL TRAINING CENTER, GORKHA",Private,General Medicine,-40,27,,,
25,"HUPSEKOT TECHNICAL SCHOOL, JHYALBAS, NAWALPARASI (EAST)",Partnership,Agriculture (Animal Science) (Semester),-40,37,,,
,,,Agriculture (Plant Science)(Semester),-40,32,,,
26,"JANAGANPATI SECONDARY SCHOOL, MYAGDE, TANAHUN",TECS,Agriculture (Animal Science) (Semester),-40,6,,,
27,"JANATA SECONDARY SCHOOL, MAGARKOT, NAWALPARASI (EAST)",TECS,Civil Engineering,-48,25,,,
28,"KALIGANDAKI POLYTECHNIC INSTITUTE, PUTTAR, TANAHUN",Constituated,Forestry,-40,4,,,
29,"KALIGANDAKI TECHNICAL SCHOOL, KAWASOTI, NAWALPARASI (EAST)",Private,General Medicine,-40,34,,,
,,,Medical Laboratory Technology,-30,16,,,
30,"KALIKA MEDICAL AND TECHNICAL INSTITUTE, GAINDAKOT, NAWALPARASI (EAST)",Private,Diagnostic Radiography,-30,30,,,
,,,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,30,,,
,,,Nursing,-40,40,,,
,,,Physiotherapy,-40,39,,,
31,"KANTIPUR INSTITUTE OF HEALTH SCIENCE, POKHARA, KASKI",Private,Dental Science(Dental Hygiene),-40,40,,,
,,,Diagnostic Radiography,-30,11,,,
,,,Medical Laboratory Technology,-30,30,,,
,,,Pharmacy,-40,40,,,
32,"KISAN POLYTECHNIC INSTITUTE, CHAPAKOT 10, SYANGJA",Constituated,Agriculture (Animal Science) (Semester),-40,26,,,
,,,Agriculture (Plant Science)(Semester),-40,8,,,
,,,Civil Engineering,-48,31,,,
,,,Information Technology,-48,20,,,
33,"KISANI SECONDARY SCHOOL, MYAGDI",TECS,Agriculture (Animal Science) (Semester),-40,34,,,
,,,Agriculture (Plant Science)(Semester),-40,1,,,
34,"MADHYANEPAL POLYTECHNIC SCHOOL, SOTIPASAL, LAMJUNG",Partnership,Civil Engineering,-48,26,,,
35,"MAHENDRA DARSHAN SECONDARY SCHOOL, TINDOBATO, SYANGJA",TECS,Civil Engineering,-48,10,,,
36,"NAMUNA TECHNICAL EDUCATION FOUNDATION, BHACHCHEK, GORKHA",Partnership,Agriculture (Plant Science)(Semester),-40,6,,,
37,"NIRMAL SECONDARY SCHOOL, BHADGAUN, TANAHUN",TECS,Civil Engineering,-48,7,,,
38,"PABITRA SECONDARY SCHOOL, TANAHUN",TECS,Civil Engineering,-48,13,,,
39,"PASCHIMANCHAL PRABIDHIK SHIKSHALAY, SHUKLAGANDAKI, TANAHUN",Private,General Medicine,-40,9,,,
,,,Medical Laboratory Technology,-30,4,,,
40,"POKHARA ENGINEERING COLLEGE, POKHARA, KASKI",Private,Civil Engineering,-48,16,,,
,,,Computer Engineering,-48,9,,,
41,"POKHARA TECHNICAL SCHOOL, PHULBARI , KASKI",Constituated,Automobile Engineering,-48,26,,,
,,,Hotel Management,-40,40,,,
42,"POKHARA TECHNICAL TRAINING AND RESEARCH CENTER, POKHARA, KASKI",Private,Medical Laboratory Technology,-30,9,,,
43,"POORNESHWAR SECONDARY SCHOOL, KUSHMA-10, PARBAT",TECS,Civil Engineering,-48,3,,,
44,"RAINAS POLYTECHNIC INSTITUTE, RAINAS, LAMJUNG",Constituated,Agriculture (Plant Science)(Semester),-40,23,,,
45,"RANABIR JANAHIT SECONDARY SCHOOL, WALING, SYANGJA",TECS,Electrical Engineering,-48,9,,,
46,"REGIONAL COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, POKHARA, KASKI",Private,Diagnostic Radiography,-30,30,,,
,,,Medical Laboratory Technology,-30,30,,,
47,"SARASWATI SECONDARY SCHOOL, BORLANG, GORKHA",TECS,Civil Engineering,-48,5,,,
48,"SARASWOTI SECONDARY SCHOOL, AAHALE, GORKHA",TECS,Forestry,-40,21,,,
49,"SHAHID SMRITI COMMUNITY SECONDARY SCHOOL, KAWASOTI, NAWALPARASI (EAST)",TECS,Agriculture (Plant Science)(Semester),-40,21,,,
50,"SIDDHARTHA SECONDARY SCHOOL, PHEDIKHOLA, SYANGJA",TECS,Computer Engineering,-48,10,,,
51,"TANAHUN TECHNICAL SCHOOL, BHIMAD, TANAHUN",Constituated,Agriculture (Plant Science)(Semester),-40,6,,,
52,"TRIBHUWAN AADARSHA SECONDARY SCHOOL, PUTALIBAZAR, SYANGJA",TECS,Civil Engineering,-48,16,,,
53,"TRIBHUWAN SECONDARY SCHOOL, MANECHAUKA, TANAHUN",TECS,Agriculture (Animal Science) (Semester),-40,14,,,
54,"WALING SCHOLARS' FOUNDATION, SYANGJA",Partnership,Pharmacy,-40,40,,,
Total,,,,,1858,,,0
Grand Total,,,,,1858,,,0
