SN,Name of Institute,Institute Type,Diploma/PCL Program,Quota,Applicant,Pre-diploma Program,Quota,Applicant
16,"GANDAKI POLYTECHNIC INSTITUTE, POKHARA, KASKI",Partnership,Civil Engineering,-48,19,,,
,,,General Medicine,-40,40,,,
,,,Pharmacy,-40,40,,,
17,"GANDAKI TECHNICAL INSTITUTE, POKHARA, KASKI",Private,Beauty and Cosmetology,-40,11,,,
,,,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,30,,,
,,,Pharmacy,-40,37,,,
18,"GANDAKI TECHNICAL TRAINING CENTER, DAMAULI, TANAHUN",Private,General Medicine,-40,37,,,
19,"GORKHA POLYTECHNIC INSTITUTE, PALUNGTAR , GORKHA",Constituated,Civil Engineering,-48,7,,,
,,,Civil Engineering (Special),-15,15,,,
,,,Geomatics Engineering,-48,1,,,
20,"GORKHA SCIENCE AND TECHNICAL EDUCATION SAHKARI LIMITED, GORKHA",Private,Medical Laboratory Technology,-30,9,,,
21,"GORKHA TECHNICAL TRAINING CENTER, GORKHA",Private,General Medicine,-40,36,,,
22,"HUPSEKOT TECHNICAL SCHOOL, JHYALBAS, NAWALPARASI (EAST)",Partnership,Agriculture (Animal Science) (Semester),-40,17,,,
,,,Agriculture (Plant Science)(Semester),-40,10,,,
23,"JANAGANPATI SECONDARY SCHOOL, MYAGDE, TANAHUN",TECS,Agriculture (Animal Science) (Semester),-40,15,,,
24,"JANATA SECONDARY SCHOOL, MAGARKOT, NAWALPARASI (EAST)",TECS,Civil Engineering,-48,26,,,
25,"KALIGANDAKI POLYTECHNIC INSTITUTE, PUTTAR, TANAHUN",Constituated,Pharmacy,-40,38,,,
,,,Pharmacy (Special),-40,34,,,
26,"KALIGANDAKI TECHNICAL SCHOOL, KAWASOTI, NAWALPARASI (EAST)",Private,Diagnostic Radiography,-30,18,,,
,,,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,29,,,
27,"KALIKA MEDICAL AND TECHNICAL INSTITUTE, GAINDAKOT, NAWALPARASI (EAST)",Private,Diagnostic Radiography,-30,28,,,
,,,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,30,,,
,,,Nursing,-40,40,,,
,,,Pharmacy,-40,37,,,
,,,Physiotherapy,-40,40,,,
28,"KANTIPUR INSTITUTE OF HEALTH SCIENCE, POKHARA, KASKI",Private,Dental Science(Dental Hygiene),-40,40,,,
,,,Diagnostic Radiography,-30,18,,,
,,,Medical Laboratory Technology,-30,30,,,
,,,Pharmacy,-40,40,,,
29,"KISAN POLYTECHNIC INSTITUTE, CHAPAKOT 10, SYANGJA",Constituated,Agriculture (Animal Science) (Semester),-40,12,,,
,,,Civil Engineering,-48,14,,,
,,,Information Technology,-48,16,,,
30,"KISANI SECONDARY SCHOOL, MYAGDI",TECS,Agriculture (Animal Science) (Semester),-40,19,,,
,,,Agriculture (Plant Science)(Semester),-40,23,,,
31,"MADHYANEPAL POLYTECHNIC SCHOOL, SOTIPASAL, LAMJUNG",Partnership,Civil Engineering,-48,25,,,
32,"PASCHIMANCHAL PRABIDHIK SHIKSHALAY, SHUKLAGANDAKI, TANAHUN",Private,General Medicine,-40,34,,,
,,,Medical Laboratory Technology,-30,13,,,
33,"PIONEERS HIGHER EDUCATION, WALING, SYANGJA",Private,General Medicine,-40,33,,,
34,"POKHARA ENGINEERING COLLEGE, POKHARA, KASKI",Private,Civil Engineering,-48,15,,,
,,,Computer Engineering,-48,8,,,
35,"POKHARA TECHNICAL SCHOOL, PHULBARI , KASKI",Constituated,Hotel Management,-40,40,,,
36,"POKHARA TECHNICAL TRAINING AND RESEARCH CENTER, POKHARA, KASKI",Private,General Medicine,-40,40,,,
,,,Medical Laboratory Technology,-30,30,,,
37,"RAINAS POLYTECHNIC INSTITUTE, RAINAS, LAMJUNG",Constituated,Agriculture (Plant Science)(Semester),-40,7,,,
,,,Agriculture (Plant Science)(Special Semester),-17,14,,,
38,"REGIONAL COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY, POKHARA, KASKI",Private,Diagnostic Radiography,-30,30,,,
,,,Medical Laboratory Technology,-30,30,,,
,,,Pharmacy,-40,31,,,
39,"SIDDHARTHA SECONDARY SCHOOL, PHEDIKHOLA, SYANGJA",TECS,Computer Engineering,-48,9,,,
40,"WALING SCHOLARS' FOUNDATION, SYANGJA",Partnership,Pharmacy,-40,40,,,
Total,,,,,1911,,,0
Grand Total,,,,,1911,,,0
